"$wgCityId","URL","$wgSitename","$wgContentLanguage","Date of creation","Founder name","WAC Project - PVT","ARC/WAC Project - WR/IVT","Remarks"
"","http://yuefootball.fandom.com/yue","粵話足球維基百科 Wiki","yue","2020-08-21 11:56:40","Albret Yoneda","","",""
"","http://hkerinde.fandom.com/yue","香港人在德國 community","yue","2017-02-28 08:25:32","Chiu Kit Lam","","",""
"","http://gta.fandom.com/yue","俠盜獵車手 Wikia","yue","2016-02-21 05:07:37","Talk Chengdu","","",""
"","http://hong-kong-roblox.fandom.com/yue","Hong Kong ROBLOX Wikia","yue","2015-11-20 10:08:28","Edmondb","","",""
"","http://epicrapbattlesofhistory.fandom.com/yue","Epic Rap Battles of History Wikia","yue","2015-07-21 02:09:58","GabrielolXP","","",""
"","http://harbourcapital.fandom.com/yue","海港都大典 Wikia","yue","2015-07-08 01:36:50","Kenny458000","","",""
"","http://t-b.fandom.com/yue","Terra Battle Wiki","yue","2014-09-21 08:45:00","Lks07150251","","",""
"","http://sanguoglory.fandom.com/yue","Sanguoglory Wiki","yue","2014-05-05 00:50:19","Kwokhung","","",""
"","http://7lost.fandom.com/zh-yue","yue","yue","2012-12-04 14:48:41","7lost","","",""
"","http://superherodatabase.fandom.com/yue","超級英雄 Wiki","yue","2012-08-02 13:16:39","Holy2036","","",""
"","http://jameswongworld.fandom.com/yue","Jameswong.world Wiki","yue","2012-06-17 07:38:14","James 2671","","",""
"","http://chinesephilosophy.fandom.com/zh-yue","yue","yue","2012-02-29 05:16:21","Ian chow","","",""
"","http://co-co.fandom.com/yue","CO-CO! Wiki","yue","2010-07-12 07:23:50","Tofutofu1304","","",""
"","http://tr-busfan.fandom.com/zh-yue","yue","yue","2010-06-05 13:18:34","FZ7937","","",""
"","http://jeffreychan.fandom.com/yue","安安的 Wiki","yue","2009-05-06 19:47:21","JeffreyChan","","",""
